('2ViEnnYXmb3Bm0s7XdqWdY',0.0805,0.897,158147,0.594,0,1,-7.408,1,0.264,106.0,4,0.562)
('0mQOoySi9kNxcF20CTgKe1',0.00746,0.761,240360,0.692,0.0314,0,-12.709,1,0.0401,138.97,4,0.743)
('3FbCVj9QLM9uYwIwYfxIj9',0.189,0.631,262664,0.682,0,6,-4.035,1,0.0685,113.972,4,0.682)
('0KOhNep0p04QzdZiwwm72Y',0.853,0.652,96840,0.701,1.22e-06,5,-15.124,1,0.943,65.932,4,0.331)
('2opaJYtasZRXjOWO6KyvQw',0.519,0.491,241333,0.478,0.000316,0,-8.165,1,0.0288,130.172,4,0.0389)
('1jG29zp5Xmo9PdDdf1b6mO',0.0459,0.769,267227,0.676,0,2,-9.038,1,0.343,96.976,4,0.709)
('0uctKVLlfFjhYRnJaDaYXM',8.55e-05,0.436,203224,0.915,4.8e-06,9,-3.929,1,0.0562,162.049,3,0.418)
('4gO97vSZeD57VqwCs7wYaw',0.569,0.542,247667,0.449,0,6,-7.975,1,0.0432,131.829,4,0.261)
('2m6knc5tEfzVYwGY6GlCPm',0.185,0.554,289480,0.443,1.92e-05,7,-7.461,0,0.211,83.892,4,0.475)
('6PlkGbW410EmyHP0ISmvgi',0.0548,0.789,258400,0.801,2.42e-06,7,-4.974,1,0.36,92.266,4,0.774)
('75VVIB2x1h6BfxD2PqOO57',0.924,0.491,54440,0.0324,0,6,-22.306,1,0.0484,41.387,3,0.341)
('2ohegz9maxzroKBu9YhcCM',0.482,0.397,184080,0.449,8e-05,8,-13.376,1,0.386,125.344,4,0.373)
('1fzM7F3jojcKt96znnlP1L',0.175,0.565,275813,0.521,0,4,-8.546,1,0.0332,110.009,4,0.153)
('1lFX2mAX3bi565hVZf0aqy',0.0956,0.555,246256,0.614,0.0012,0,-8.728,1,0.0262,82.031,4,0.328)
('5jQQDwJosT89Wy5vOLCafm',0.309,0.616,228966,0.595,4.6e-05,7,-7.513,1,0.147,87.003,4,0.407)
('0LvBs4POGn7q5T5ManBLOI',0.318,0.698,168558,0.631,0,7,-5.909,0,0.356,96.79,4,0.66)
('7fKHTEf0znt7BLpg0qAHEe',0.0161,0.568,281125,0.936,0.0421,0,-5.209,0,0.112,140.003,4,0.35)
('7JCsmyPNZ9jgk1Fc5aMy3C',0.0269,0.14,241707,0.3,6.92e-05,2,-10.177,1,0.0298,175.085,4,0.0801)
('2bCWhKeKk02WqbXVDKT5GW',1.41e-05,0.378,182667,0.961,0.917,2,-4.202,0,0.104,163.478,4,0.531)
('663XpYXOdyF2zv4bTIXffh',0.000121,0.319,214453,0.926,0.000978,6,-3.865,0,0.0487,166.051,4,0.357)
